,name,Date,Divedend_yield_ratio_growth,BPS_growth,PER_growth,EPS_growth,Profit_growth,Revenue_growth,W/L
157,posco_9,2017-06-30 0:00,3.305785124,1.6607349009999999,-32.20338983,-2.7975973819999997,36.73,10.6,0
266,hhi_7,2017-12-28 0:00,-6.349206349,1.778906909,-2.197802198,6.394248006000001,36.74,7.51,1
190,samsung_5,2018-06-29 0:00,38.31168831,-3.9062677160000003,-20.70393375,1.207837725,63.82,15.14,0
77,lg_3,2018-12-28 0:00,8.666666667000001,1.326343558,3.326256192,-13.47230593,-12.31,-0.03,0
50,gs_13,2016-06-30 0:00,15.57788945,-3.013930606,-99.30991217,43.97369091,746.11,5.67,0
158,posco_10,2017-03-31 0:00,-11.53846154,0.0,10.36324786,0.0,46.96,-8.75,1
12,hyundai_12,2016-09-30 0:00,-4.060913706,3.556959418,4.43285528,-1.199606894,6.42,8.72,1
53,gs_16,2015-09-30 0:00,-1.162790698,2.313411984,417.9368745,224.02892590000002,437.23,16.95,0
13,hyundai_13,2016-06-30 0:00,25.36585366,1.003837987,-6.275579809,-2.079786025,-16.16,6.86,0
159,posco_11,2016-12-29 0:00,-12.2605364,0.457042857,-229.49940409999996,72.99854243,46.96,-8.75,1
204,samsung_19,2014-12-30 0:00,-13.79310345,1.4523217130000001,21.08963093,-12.8959356,-50.14,-12.8,1
21,hyundai_21,2014-06-30 0:00,7.5,7.160244978,-14.91108071,9.074416625,13.96,1.75,0
166,posco_18,2015-03-31 0:00,11.87739464,0.0,-10.30664395,0.0,41.89,9.67,0
230,SK_8,2017-09-29 0:00,-12.57861635,6.178307078,-11.00090171,36.1487022,34.14,10.62,1
49,gs_12,2016-09-30 0:00,-2.051282051,-8.761020377000001,-0.8860759490000001,6.876688627,-23.89,5.23,1
212,samsung_27,2012-12-28 0:00,-8.064516129,5.587962589,-11.50369762,16.12284225,77.43,22.52,1
192,samsung_7,2017-12-28 0:00,0.0,3.9192742330000003,-19.30860034,14.27606836,145.93,17.74,1
113,lotte_2,2019-03-29 0:00,0.873362445,0.0,-1.573676681,0.0,22.14,53.84,1
251,SK_29,2012-06-29 0:00,-15.54404145,1.426502023,31.69456067,-2.551246426,60.29,8.29,0
197,samsung_12,2016-09-30 0:00,-9.649122807000001,-8.195473219,-0.973574409,10.14708339,35.21,12.42,1
187,samsung_2,2019-03-29 0:00,-10.0,0.0,9.413202934,0.0,21.69,4.95,1
186,samsung_1,2019-06-28 0:00,32.27091633,1.285863303,18.84920635,-7.360422335,-20.68,-5.3,1
129,lotte_18,2015-03-31 0:00,-4.545454545,0.0,3.9345937660000003,0.0,-13.25,-1.18,1
45,gs_8,2017-09-29 0:00,13.452914800000002,2.619331082,-4.662698413,-3.13530061,-8.7,13.8,0
244,SK_22,2014-03-31 0:00,2.631578947,0.0,-2.504038772,0.0,17.13,-6.46,0
225,SK_3,2018-12-28 0:00,13.41991342,5.79950196,-23.98286938,5.9913773589999995,31.21,21.82,0
83,lg_9,2017-06-30 0:00,-1.612903226,5.350219632,-66.47847565,23.97644387,62.96,4.29,1
258,SK_36,2010-09-30 0:00,-16.28959276,7.616182518,0.629326621,15.19252804,46.56,15.76,1
146,lotte_35,2010-12-30 0:00,-10.25641026,2.265985632,6.891981445,2.146169977,8.22,14.52,1
141,lotte_30,2012-03-30 0:00,-4.444444444,0.0,5.221674877,0.0,16.96,10.47,1
42,gs_5,2018-06-29 0:00,-10.57692308,0.321321822,18.2937555,-20.78652888,7.82,7.79,1
247,SK_25,2013-06-28 0:00,4.7337278110000005,0.495448923,-14.597156400000001,23.52951656,-10.11,1.96,1
284,hhi_25,2013-06-28 0:00,-4.347826087,2.7391783530000002,-4.914196568,3.05502823,-0.3,16.93,0
127,lotte_16,2015-09-30 0:00,-4.7619047619999995,-5.16877125,-27.78768956,32.42396711,86.52,-1.5,1
155,posco_7,2017-12-28 0:00,-6.25,1.508145694,-7.105064248,11.20244873,10.49,23.35,1
25,hyundai_25,2013-06-28 0:00,8.641975309,2.434941305,3.880983182,0.384345228,-17.74,0.73,0
283,hhi_24,2013-09-30 0:00,-10.57692308,5.778664823,9.142452162,-3.84811086,10.66,6.23,1
277,hhi_18,2015-03-31 0:00,7.476635514,0.343861331,7.042253521,0.264862698,-19.68,-1.9,1
288,hhi_29,2012-06-29 0:00,5.34351145,-0.175998336,-3.357903358,-5.07088092,28.11,5.24,0
217,samsung_32,2011-09-30 0:00,15.625,2.8152875689999997,-3.8104089219999997,-10.72383263,-22.42,3.47,0
292,hhi_33,2011-06-30 0:00,18.644067800000002,2.343066415,-6.593406592999999,4.813566622,20.57,18.46,0
34,hyundai_34,2011-03-31 0:00,-21.42857143,0.0,16.25412541,0.0,28.31,20.26,1
282,hhi_23,2013-12-30 0:00,0.0,2.282826065,5.047106326000001,0.332923103,-1.77,2.69,1
124,lotte_13,2016-06-30 0:00,49.38271605,-3.8598493960000004,-14.59207459,-24.42792123,65.09,-4.0,0
287,hhi_28,2012-09-28 0:00,-8.26446281,2.9114820810000004,22.03065134,-21.74572538,-18.57,8.78,1
107,lg_33,2011-06-30 0:00,-11.76470588,0.318946565,34.89847716,-22.83721723,-38.18,24.92,0
73,gs_36,2010-09-30 0:00,-29.41176471,6.109607284,3.2858707560000004,17.10327674,62.49,11.47,1
177,posco_29,2012-06-29 0:00,6.074766355,1.770638868,-4.296160878,10.36393575,-48.78,14.93,0
259,hhi_0,2019-09-30 0:00,3.381642512,3.449080162,12.01716738,-26.26557537,-32.23,3.23,0
269,hhi_10,2017-03-31 0:00,-6.569343066,0.0,6.009453072,0.0,15.3,-0.5,1
262,hhi_3,2018-12-28 0:00,13.812154699999999,1.5228827740000002,-17.49482402,0.273577615,6.52,5.39,0
16,hyundai_16,2015-09-30 0:00,-10.81081081,4.376979378,16.99346405,-9.274172235,-11.21,-0.01,1
35,hyundai_35,2010-12-30 0:00,-13.7254902,5.705868511,8.078817734,4.80850755,28.31,20.26,1
224,SK_2,2019-03-29 0:00,-9.478672986,-0.008384375999999999,8.966861598,-0.007923422,31.21,21.82,1
61,gs_24,2013-09-30 0:00,-11.58536585,-2.428181583,65.03289787,-629.7000759,-91.25,-9.89,1
263,hhi_4,2018-09-28 0:00,-0.641025641,1.46803647,1.145374449,1.044661029,7.6,9.36,1
171,posco_23,2013-12-30 0:00,-1.069518717,0.7448557459999999,15.40366518,-17.13691145,-35.53,-3.98,1
260,hhi_1,2019-06-28 0:00,14.0,-0.295727664,16.82926829,-12.18377565,-23.85,4.83,0
38,gs_1,2019-06-28 0:00,22.14285714,1.820389737,-1.158301158,7.215819281,2.24,6.54,0
169,posco_21,2014-06-30 0:00,1.463414634,0.062380307999999995,29.18406072,-19.64933039,19.72,11.28,1
54,gs_17,2015-06-30 0:00,-25.86206897,-3.1397811719999997,0.944309927,67.95458146,-204.66,5.35,1
